-able	 V. -ble.
cruel	Del lat. crudēlis. Sup. irreg. crudelísimo, cult.; reg. cruelísimo. 1. adj. Que se deleita en hacer sufrir o se complace en los padecimientos ajenos. 2. adj. Insufrible, excesivo. Hace un frío cruel. Tuvo unos dolores crueles. 3. adj. Sangriento, duro, violento. Batalla, golpe cruel.
crueldad	Del lat. crudelĭtas, -ātis. 1. f. Inhumanidad, fiereza de ánimo, impiedad. 2. f. Acción cruel e inhumana.
cruelmente	1. adv. Con crueldad.
cruentación	Del lat. cruentatio, -ōnis. 1. f. desus. Acción y efecto de cruentar.
cruentamente	1. adv. De manera cruenta o que conlleva derramamiento de sangre.
cruentar	Del lat. cruentāre. 1. tr. desus. ensangrentar. Era u. t. c. prnl. 2. prnl. desus. encruelecerse.
cruentidad	De cruento. 1. f. desus. crueldad.
cruento	ta Del lat. cruentus. 1. adj. sangriento.
crueza	Del ant. crúo, y este del lat. crudus 'crudo', y -eza. 1. f. desus. crueldad.
crujidero	ra 1. adj. Que cruje. 2. m. Trencilla de cáñamo o de seda que se empalma al látigo, o a la rabiza de este y de la tralla, para que restalle.
crujido	 1. m. Acción y efecto de crujir. 2. m. Pelo que tienen las hojas de espada en el sentido de su longitud. dar crujido 1. loc. verb. coloq. dar un estallido.
crujiente	1. adj. Que cruje. Pan crujiente.
crujir	 De or. inc. 1. intr. Dicho de algunos cuerpos, como las telas de seda, las maderas, los dientes, etc.: Hacer cierto ruido cuando rozan unos con otros o se rompen.
crujía	 Del it. corsia. 1. f. Tránsito largo de algunos edificios que da acceso a las piezas que hay a los lados. 2. f. En los hospitales, sala larga en que hay camas a uno y otro costado y a veces en el medio de ella. 3. f. En algunas catedrales, paso cerrado con verjas o barandillas, desde el coro al presbiterio. 4. f. Arq. Espacio comprendido entre dos muros de carga. 5. f. Mar. Espacio de popa a proa en medio de la cubierta del buque. 6. f. Mar. pasamano (‖ paso de popa a proa junto a la borda). crujía de piezas 1. f. Fila de piezas seguidas o puestas a continuación. pasar crujía 1. loc. verb. En las galeras, hacer pasar al delincuente por la crujía entre dos filas, recibiendo golpes con cordeles o varas. 2. loc. verb. coloq. correr una trinquetada (‖ padecer trabajos). sufrir una crujía 1. loc. verb. coloq. correr una trinquetada (‖ padecer trabajos).
crumiro	ra 1. adj. despect. Arg., Chile y Ur. Dicho de un trabajador: Que no acata la huelga dispuesta por el sindicato.
crup	Del ingl. croup. 1. m. difteria.
crupal	1. adj. Perteneciente o relativo al crup. Voz, respiración, tos crupal.
crupier	Del fr. croupier. 1. m. y f. Persona contratada en los casinos para dirigir el juego, repartir las cartas, controlar las apuestas, etc.
crural	Del lat. crurālis. 1. adj. Perteneciente o relativo al muslo.
crustáceo	a Del lat. crusta 'costra, corteza'. 1. adj. Que tiene costra. 2. adj. Zool. Dicho de un animal: Del grupo de los artrópodos, con un número variable de apéndices, dos pares de antenas, cuerpo cubierto por un caparazón, generalmente calcificado, y respiración branquial. U. t. c. s. m., en pl. como taxón.
cruz	Del lat. crux, crucis. 1. f. Figura formada por dos líneas que se atraviesan o cortan perpendicularmente. 2. f. Patíbulo formado por un madero hincado verticalmente y atravesado en su parte superior por otro más corto, en los cuales se clavaban o sujetaban las manos y pies de los condenados a este suplicio. 3. f. Imagen o figura de una cruz (‖ patíbulo). 4. f. Insignia y señal de cristiano, en memoria de haber padecido en ella Jesucristo. 5. f. Distintivo de muchas órdenes religiosas, militares y civiles, más o menos parecido a una cruz. 6. f. Por oposición a las caras de las monedas, reverso en el que solían figurar los escudos de armas, generalmente divididos en cruz. 7. f. Parte negativa de una cosa o de una persona, por oposición a cara. 8. f. Parte más alta del lomo de algunos animales, donde se cruzan los huesos de las extremidades anteriores con el espinazo. 9. f. Parte del árbol en que termina el tronco y empiezan las ramas. 10. f. Trencas o palos atravesados en la colmena. 11. f. Signo gráfico en forma de cruz, que, puesto en libros u otros escritos junto al nombre de una persona, indica que ha muerto. 12. f. Peso, carga o trabajo. 13. f. Heráld. Pieza de honor que se forma con el palo y la faja. 14. f. Ingen. Pared que divide la plaza de los hornos de reverbero españoles. 15. f. Mar. Punto medio de la verga de figura simétrica. 16. f. Mar. Unión de la caña del ancla con los brazos. 17. f. pl. En las tahonas, los cuatro palos que en dos direcciones perpendiculares entre sí abrazan el eje y afirman la corona de la rueda principal. cruz ancorada 1. f. Heráld. cruz cuyos extremos terminan a modo de áncora. cruz de Alcántara 1. f. cruz de Calatrava, sin otra diferencia que tener en el escudete del crucero un peral de color verde y carecer de trabas. cruz de Borgoña 1. f. aspa de san Andrés (‖ insignia de la casa de Borgoña). cruz de Calatrava 1. f. cruz de color rojo, brazos iguales, terminados en flores de lis muy abiertas y dos trabas al pie del trozo vertical. cruz de Caravaca 1. f. cruz patriarcal. cruz de Jerusalén 1. f. cruz griega, ensanchada por sus cuatro extremidades a manera de puntas de flecha. 2. f. Planta perenne de la familia de las cariofiláceas, con tallos herbáceos, cilíndricos, nudosos, de 60 a 80 cm de altura, hojas lanceoladas, vellosas y dentadas, y flores de color escarlata en ramilletes terminales. cruz de Malta 1. f. Trozo cuadrado de lienzo con un corte diagonal en cada uno de sus ángulos, que se usa como pieza de apósito. cruz de Montesa 1. f. cruz sencilla, de color rojo y brazos iguales. cruz de san Andrés 1. f. aspa (‖ conjunto de dos palos que forman una X). 2. f. Carp. Figura formada por dos palos o maderos que se cruzan en ángulos agudos y obtusos, resultando un aspa. cruz de san Antonio 1. f. cruz que solo consta de tres brazos, con un asa o anilla en lugar del brazo superior. cruz de Santiago 1. f. cruz de color rojo, en forma de espada, que es lo que simboliza. cruz decusata 1. f. cruz que tiene forma de aspa. cruz gamada 1. f. cruz que tiene cuatro brazos acodados como la letra gamma mayúscula del alfabeto griego y que se ha adoptado como símbolo religioso, político o racista. cruz griega 1. f. cruz que se compone de un palo y un travesaño iguales, que se cortan en los puntos medios. cruz latina 1. f. cruz de forma ordinaria, cuyo travesaño divide al palo en partes desiguales. cruz patada, o cruz paté 1. f. Heráld. cruz cuyos extremos se ensanchan un poco. cruz patriarcal 1. f. cruz compuesta de un pie y dos travesaños paralelos y desiguales que forman cuatro brazos. cruz potenzada 1. f. cruz que tiene pequeños travesaños en sus cuatro extremidades. cruz recrucetada 1. f. Heráld. cruz cuyos brazos forman otras tantas cruces. cruz sencilla 1. f. cruz de categoría inferior a la encomienda y gran cruz en las condecoraciones que, como la de Carlos III, suelen tener los tres grados. gran cruz 1. f. cruz de mayor categoría en ciertas órdenes de distinción, como la de Carlos III, San Fernando, etc. 2. f. Dignidad superior que representa la gran cruz en las órdenes correspondientes. Caballero gran cruz de Isabel la Católica. media cruz 1. f. Persona adscrita, sin ser profesa, a la Orden de San Juan de Jerusalén y que podía usar ese distintivo. a cruz y escuadra 1. loc. adv. Carp. Formando casetones y lacerías en el ensamblaje de las maderas. adelante con la cruz 1. expr. coloq. adelante con los faroles. andar con la cruz, o las cruces, a cuestas 1. locs. verbs. Hacer rogativas para que Dios conceda alguna gracia o libre de alguna aflicción o peligro. cata la cruz 1. loc. interj. U. para expresar asombro y miedo supersticiosos. cruz diablo 1. loc. interj. Arg., Par. y Ur. U. para conjurar un peligro, especialmente el que se atribuye a poderes malignos. cruz y raya 1. expr. coloq. U. para expresar el firme propósito de no volver a entender en un asunto o de no tratar más con alguien. de la cruz a la fecha 1. loc. adv. Desde el principio hasta el fin. en cruz 1. loc. adj. Dicho de los brazos: Extendidos horizontalmente. U. t. c. loc. adv. 2. loc. adv. Heráld. Dicho de dividirse el escudo: Con dos líneas, la una vertical y la otra horizontal. entre la cruz y el agua bendita 1. loc. adv. coloq. En peligro inminente. estar por esta cruz de Dios 1. loc. verb. coloq. No haber comido. 2. loc. verb. coloq. No haber conseguido lo que se quiere. 3. loc. verb. coloq. No haber podido entender algo. hacerle a alguien la cruz 1. loc. verb. coloq. U. para dar a entender que nos queremos librar o guardar de él. hacerse cruces 1. loc. verb. coloq. Demostrar la admiración o extrañeza que causa algo. 2. loc. verb. coloq. estar por esta cruz de Dios. hacerse la cruz 1. loc. verb. coloq. hacerse cruces. llevar la cruz en los pechos 1. loc. verb. Ser caballero de alguna orden militar o civil. por esta, o por estas, que son cruces 1. exprs. U. como especie de fórmula de juramento en son de amenaza al mismo tiempo que se hace una o dos cruces con los dedos pulgar e índice. quedarse en cruz y en cuadro 1. loc. verb. coloq. Venir a ser muy pobre por haber perdido cuanto se tenía. quitar cruces de un pajar 1. loc. verb. coloq. U. para significar la dificultad de un negocio, cuando son muchos los inconvenientes. tener la cruz en los pechos 1. loc. verb. llevar la cruz en los pechos. tomar cruz dos cables 1. loc. verb. Mar. Cruzarse cuando el buque que está amarrado a ellos toma diferente posición que la que tenía al fondear. traer la cruz en los pechos 1. loc. verb. llevar la cruz en los pechos. trasquilar a cruces a alguien 1. loc. verb. Cortarle el pelo desigual y sin esmero. árbol de la cruz buque de cruz caballero gran cruz cara o cruz cara y cruz iglesia en cruz griega iglesia en cruz latina peso de cruz señal de la cruz vela de cruz víbora de la cruz viernes de la cruz
cruza	 1. f. And., Arg., Bol., Chile, Ec., Hond., Méx., Nic., Par., Perú y Ur. cruce (‖ acción de cruzar animales). 2. f. rur. Chile. bina (‖ acción de binar las tierras).
cruzada	 De cruz, por la insignia de ella que llevaban los soldados en el pecho. 1. f. Expedición militar contra los infieles, especialmente para recuperar los Santos Lugares, que publicaba el papa concediendo indulgencias a quienes en ella participaran. 2. f. Tropa que iba a una cruzada. 3. f. Concesión de indulgencias otorgadas por el papa a los reyes que mantenían tropas para hacer guerra contra los musulmanes, y a los que contribuían para mantenerla. 4. f. Consejo de Cruzada. 5. f. encrucijada (‖ lugar donde se cruzan calles o caminos). 6. f. campaña (‖ actos para conseguir un fin). bula de la cruzada bula de la santa cruzada Comisaría de Cruzada comisario general de cruzada
cruzadillo	Del dim. de cruzado. 1. m. Tela fuerte de algodón que forma líneas diagonales.
cruzado	da  Del part. de cruzar. 1. adj. Dicho de una prenda de vestir: Que tiene el ancho necesario para poder sobreponer un delantero sobre otro. Chaqueta cruzada, abrigo cruzado. 2. adj. Que participa en una cruzada. U. t. c. s. 3. adj. Dicho de un caballero: Que trae la cruz de una orden militar. U. t. c. s. 4. adj. Dicho de un animal: Nacido de padres de distintas castas. 5. adj. Heráld. Dicho de una pieza: Que lleva cruz sobrepuesta. 6. m. Postura en la guitarra, que se hace pisando las cuerdas primera y tercera en el segundo traste, y la segunda en el tercero. 7. m. Moneda de Castilla, de plata o de vellón, mandada acuñar por Enrique II, y que tenía una cruz en el anverso, en el caso de la de plata. 8. m. excelente de la granada. 9. m. Moneda portuguesa antigua hecha de plata. 10. m. Danza. Mudanza que hacen los bailarines, formando una cruz y volviendo a ocupar el lugar que antes tenían. cheque cruzado fuego cruzado palabras cruzadas
cruzador	ra 1. adj. desus. Que cruza o atraviesa de una parte a otra.
cruzamiento	1. m. Acción y efecto de cruzar (‖ investir con la cruz de alguna orden). 2. m. Acción de cruzar (‖ animales para mejorar las castas). 3. m. cruce.
cruzar	 1. tr. Atravesar una cosa sobre otra en forma de cruz. 2. tr. Colocar los brazos por delante del pecho apoyando uno sobre el otro. 3. tr. Colocar las piernas montando una sobre la otra cuando se está sentado. 4. tr. Atravesar un camino, un campo, una calle, etc., pasando de una parte a otra. 5. tr. Investir a alguien con la cruz y el hábito de una de las cuatro órdenes militares o de otro instituto semejante, con las solemnidades establecidas. 6. tr. Arar por segunda vez la tierra, trazando surcos perpendiculares a los primeros. 7. tr. Juntar para la procreación a los machos con las hembras de animales de la misma especie pero distinta procedencia, frecuentemente con el fin de mejorar las castas. 8. tr. Trazar dos rayas paralelas en un cheque para que este solo pueda cobrarse por medio de una cuenta corriente. 9. tr. Mar. Navegar en todas direcciones dentro de un espacio determinado con fines diversos. 10. prnl. Tomar la cruz, alistándose en una cruzada. 11. prnl. Dicho de dos personas o cosas: Pasar por un punto o camino en direcciones opuestas. 12. prnl. Dicho de varios negocios, expedientes, etc.: Aglomerarse, estorbándose unos a otros. 13. prnl. Dicho de una cosa: atravesarse (‖ ponerse entremedias de otras). 14. prnl. Recibir la investidura de una orden militar o de otro instituto semejante. 15. prnl. Geom. Dicho de una línea: Pasar a cierta distancia de otra no situada en el mismo plano, sin cortarla ni serle paralela. 16. prnl. Gram. Dicho de dos palabras o formas gramaticales generalmente sinónimas: Originar otra que ofrece caracteres de cada una de aquellas; p. ej., papa y batata se han cruzado en patata. 17. prnl. Veter. Dicho de un animal: Caminar cruzando los brazos o las piernas.
cruórico	ca 1. adj. Perteneciente o relativo al crúor.
cráneo	Del b. lat. cranium, y este del gr. κρανίον kraníon, dim. de κράνος krános 'casco, yelmo'. 1. m. Caja ósea en que está contenido el encéfalo. 2. m. calavera (‖ conjunto de huesos de la cabeza). 3. m. coloq. Ur. y Ven. Persona muy inteligente. ir alguien de cráneo 1. loc. verb. coloq. Hallarse en una situación muy comprometida, de difícil solución. secársele a alguien, o tener alguien seco, el cráneo 1. locs. verbs. coloqs. Volverse, o estar, loco. base del cráneo
crápula	Del lat. crapŭla, y este del gr. κραιπάλη kraipálē. 1. f. Disipación, libertinaje. 2. f. p. us. Embriaguez o borrachera. 3. m. Hombre de vida licenciosa.
